Wavenumber,Absorbance
3997.2177,-0.01478
3995.16046,-0.01495
3993.10322,-0.01504
3991.04598,-0.01511
3988.98874,-0.01523
3986.9315,-0.0154
3984.87426,-0.01562
3982.81702,-0.01594
3980.75978,-0.01628
3978.70254,-0.01642
3976.6453,-0.01628
3974.58806,-0.01592
3972.53081,-0.0155
3970.47357,-0.01514
3968.41633,-0.01496
3966.35909,-0.01489
3964.30185,-0.01483
3962.24461,-0.01472
3960.18737,-0.0146
3958.13013,-0.01453
3956.07289,-0.01458
3954.01565,-0.0148
3951.95841,-0.01514
3949.90117,-0.01549
3947.84393,-0.01567
3945.78669,-0.01565
3943.72945,-0.01551
3941.67221,-0.01535
3939.61497,-0.01527
3937.55773,-0.01535
3935.50049,-0.0155
3933.44325,-0.01557
3931.38601,-0.01556
3929.32877,-0.01561
3927.27153,-0.01581
3925.21429,-0.01607
3923.15705,-0.01618
3921.09981,-0.01605
3919.04257,-0.01578
3916.98533,-0.01551
3914.92809,-0.01528
3912.87085,-0.01507
3910.81361,-0.01484
3908.75637,-0.01462
3906.69913,-0.01451
3904.64189,-0.01468
3902.58465,-0.01514
3900.52741,-0.01562
3898.47017,-0.01591
3896.41293,-0.01599
3894.35569,-0.01596
3892.29845,-0.01597
3890.24121,-0.01609
3888.18397,-0.01622
3886.12673,-0.01622
3884.06949,-0.01603
3882.01225,-0.01564
3879.95501,-0.01519
3877.89777,-0.0149
3875.84053,-0.01491
3873.78329,-0.01519
3871.72605,-0.01558
3869.66881,-0.01601
3867.61156,-0.01643
3865.55432,-0.01674
3863.49708,-0.01668
3861.43984,-0.01611
3859.3826,-0.01517
3857.32536,-0.01431
3855.26812,-0.01392
3853.21088,-0.0141
3851.15364,-0.01462
3849.0964,-0.01513
3847.03916,-0.01547
3844.98192,-0.01565
3842.92468,-0.01581
3840.86744,-0.01611
3838.8102,-0.0166
3836.75296,-0.01706
3834.69572,-0.01717
3832.63848,-0.01693
3830.58124,-0.01657
3828.524,-0.01628
3826.46676,-0.01608
3824.40952,-0.01591
3822.35228,-0.01571
3820.29504,-0.01548
3818.2378,-0.01527
3816.18056,-0.01517
3814.12332,-0.0152
3812.06608,-0.01533
3810.00884,-0.01558
3807.9516,-0.01592
3805.89436,-0.01625
3803.83712,-0.01651
3801.77988,-0.01667
3799.72264,-0.01671
3797.6654,-0.01666
3795.60816,-0.01652
3793.55092,-0.01628
3791.49368,-0.01596
3789.43644,-0.0156
3787.3792,-0.01533
3785.32196,-0.01524
3783.26472,-0.01538
3781.20748,-0.01571
3779.15024,-0.01617
3777.093,-0.01662
3775.03576,-0.01694
3772.97852,-0.01709
3770.92128,-0.01712
3768.86404,-0.01704
3766.8068,-0.01684
3764.74956,-0.01653
3762.69232,-0.0162
3760.63507,-0.01597
3758.57783,-0.01596
3756.52059,-0.01623
3754.46335,-0.01676
3752.40611,-0.01742
3750.34887,-0.01806
3748.29163,-0.01854
3746.23439,-0.01877
3744.17715,-0.01861
3742.11991,-0.01797
3740.06267,-0.01713
3738.00543,-0.01639
3735.94819,-0.01596
3733.89095,-0.01585
3731.83371,-0.01592
3729.77647,-0.01602
3727.71923,-0.01616
3725.66199,-0.01642
3723.60475,-0.01667
3721.54751,-0.01681
3719.49027,-0.0169
3717.43303,-0.01705
3715.37579,-0.01721
3713.31855,-0.01723
3711.26131,-0.01692
3709.20407,-0.01631
3707.14683,-0.01574
3705.08959,-0.01547
3703.03235,-0.01548
3700.97511,-0.01557
3698.91787,-0.0156
3696.86063,-0.01553
3694.80339,-0.01542
3692.74615,-0.01539
3690.68891,-0.01555
3688.63167,-0.01575
3686.57443,-0.01576
3684.51719,-0.01563
3682.45995,-0.01559
3680.40271,-0.01577
3678.34547,-0.01606
3676.28823,-0.01627
3674.23099,-0.0163
3672.17375,-0.01621
3670.11651,-0.01619
3668.05927,-0.01627
3666.00203,-0.01626
3663.94479,-0.01604
3661.88755,-0.01577
3659.83031,-0.01569
3657.77307,-0.01586
3655.71582,-0.01614
3653.65858,-0.01641
3651.60134,-0.01662
3649.5441,-0.01678
3647.48686,-0.01682
3645.42962,-0.0167
3643.37238,-0.01647
3641.31514,-0.0162
3639.2579,-0.01593
3637.20066,-0.01573
3635.14342,-0.01569
3633.08618,-0.01584
3631.02894,-0.01611
3628.9717,-0.01626
3626.91446,-0.01602
3624.85722,-0.01533
3622.79998,-0.01449
3620.74274,-0.01389
3618.6855,-0.01381
3616.62826,-0.01425
3614.57102,-0.0149
3612.51378,-0.01543
3610.45654,-0.01572
3608.3993,-0.01583
3606.34206,-0.01576
3604.28482,-0.01561
3602.22758,-0.01558
3600.17034,-0.01574
3598.1131,-0.01599
3596.05586,-0.01617
3593.99862,-0.01611
3591.94138,-0.01567
3589.88414,-0.015
